n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
607,1096,3578,3607,3319,3145
608,1098,3581,3620,3333,3150
609,1100,3584,3624,3333,3158
610,1103,3602,3635,3343,3161
611,1106,3602,3639,3376,3170
612,1108,3607,3643,3364,3175
613,1110,3610,3654,3377,3192
614,1112,3615,3662,3379,3198
615,1114,3633,3672,3371,3193
616,1116,3627,3680,3365,3198
617,1119,3635,3683,3399,3206
618,1121,3648,3693,3391,3213
619,1124,3657,3698,3381,3219
620,1126,3654,3707,3414,3235
621,1128,3653,3712,3428,3241
622,1130,3673,3717,3449,3234
623,1133,3672,3729,3426,3239
624,1135,3673,3736,3448,3256
625,1137,3679,3739,3426,3261
626,1140,3703,3744,3465,3267
627,1141,3695,3751,3439,3267
628,1143,3703,3758,3461,3268
629,1146,3704,3765,3460,3285
630,1148,3714,3772,3463,3291
631,1150,3726,3780,3496,3287
632,1153,3727,3786,3495,3303
633,1155,3732,3794,3494,3308
634,1158,3731,3806,3510,3315
635,1160,3739,3814,3507,3310
636,1162,3751,3816,3502,3315
637,1164,3758,3819,3504,3332
638,1166,3760,3828,3525,3330
639,1169,3771,3834,3528,3335
640,1171,3778,3840,3508,3340
641,1173,3781,3854,3552,3341
642,1176,3783,3865,3540,3353
643,1178,3801,3867,3551,3361
644,1180,3802,3877,3543,3366
645,1183,3806,3886,3576,3373
646,1184,3813,3888,3577,3380
647,1188,3819,3899,3588,3386
648,1189,3828,3899,3565,3404
649,1191,3829,3911,3606,3399
650,1194,3839,3921,3600,3422
651,1196,3836,3924,3617,3427
652,1199,3845,3939,3628,3419
653,1201,3854,3939,3633,3428
654,1204,3862,3948,3606,3445
655,1205,3861,3951,3645,3442
656,1207,3875,3960,3648,3454
657,1210,3879,3975,3658,3463
658,1213,3879,3973,3674,3473
659,1215,3882,3983,3683,3477
660,1217,3893,3993,3662,3483
661,1219,3902,4004,3674,3490
662,1221,3904,4006,3698,3497
663,1223,3913,4015,3709,3492
664,1226,3925,4024,3693,3508
