COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |    1073,1073,1073 |             0.0000 |
Find (O2)                                | true    |      ? |    1130,1130,1130 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |       149,149,149 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       100,100,100 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       333,333,333 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       267,267,267 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       181,181,181 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       100,100,100 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       211,211,211 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       794,794,794 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       793,793,793 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |    1577,1577,1577 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       332,332,332 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       633,633,633 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       211,211,211 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       197,197,197 |             0.0000 |
Find (O1)                                | true    |      ? |    1125,1125,1125 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       209,209,209 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       634,634,634 |             0.0000 |

## MERGING 14 LISTS ##
Baseline (copy+sort) 920
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |    1204,1204,1204 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       764,764,764 |             0.0000 |
