n,Heap Branchless Parallel,Heap 3ary Branchless Parallel,Heap 4ary Branchless Parallel
270,382,383,332
271,386,385,334
272,390,384,335
273,391,386,336
274,395,387,337
275,397,388,338
276,403,390,341
277,404,391,340
278,408,391,341
279,410,393,342
280,415,394,343
281,417,395,344
282,421,396,346
283,423,397,346
284,430,398,346
285,430,399,348
286,434,402,348
287,437,400,350
288,441,402,351
289,445,403,351
290,447,405,352
291,450,405,353
292,455,407,356
293,459,408,356
294,461,410,356
295,465,412,357
296,467,411,358
297,472,413,359
298,476,414,360
299,477,415,361
300,483,415,362
301,486,418,364
302,490,418,366
303,491,419,365
304,496,420,368
305,499,424,368
306,510,422,368
307,505,424,369
308,513,424,371
309,513,426,372
310,518,427,372
311,520,429,373
312,570,429,375
313,527,433,375
314,531,431,377
315,534,435,377
316,541,437,378
317,544,434,379
318,545,436,380
319,553,436,383
320,552,438,382
321,555,439,386
322,559,440,387
323,565,441,387
324,566,441,386
325,568,443,388
326,571,444,413
327,575,446,389
328,579,448,391
329,581,447,392
330,583,448,392
331,588,485,393
332,591,451,395
333,593,452,398
334,624,453,396
335,597,456,397
336,602,456,399
337,604,457,400
338,607,457,400
339,609,459,402
340,611,460,428
341,614,460,405
342,616,463,423
343,620,463,409
344,618,465,411
345,622,465,438
346,623,477,416
347,624,469,418
348,626,468,446
349,627,471,422
350,668,471,425
351,633,472,429
352,631,484,429
353,635,511,431
354,634,475,434
355,635,478,435
356,678,478,437
357,637,480,439
358,638,480,442
359,641,481,447
360,642,483,447
361,644,485,451
362,642,484,453
363,646,485,456
364,648,487,456
365,711,490,458
366,647,492,461
367,648,495,465
368,650,498,465
369,653,525,468
370,650,503,498
371,650,504,472
372,651,508,475
373,654,509,476
374,656,512,482
375,655,515,483
376,683,516,484
377,722,519,514
378,656,560,489
379,662,524,491
380,658,528,522
381,660,528,495
382,660,532,498
383,661,534,500
384,665,536,502
385,665,538,507
386,669,541,507
387,668,543,509
388,667,546,511
389,667,549,515
390,670,552,516
391,669,553,518
392,668,557,520
393,671,559,522
394,671,561,525
395,672,565,527
396,680,568,529
397,675,569,531
398,674,573,536
399,675,575,536
400,677,577,539
401,678,581,540
402,685,623,543
403,678,584,544
404,679,589,547
405,682,590,549
406,682,592,552
407,682,595,554
408,683,597,588
409,684,600,559
410,684,603,560
411,691,605,563
412,687,608,566
413,690,611,568
414,689,614,570
415,691,614,572
416,690,619,577
417,708,620,578
418,691,624,579
419,695,649,583
420,693,629,584
421,694,630,586
422,695,634,589
423,696,660,591
424,696,639,593
425,699,641,595
426,699,644,598
427,702,645,602
428,704,651,602
429,709,651,604
430,702,654,608
431,704,662,610
432,703,659,614
433,706,662,614
434,706,666,617
435,707,666,620
436,707,670,622
437,709,673,626
438,709,674,631
439,710,677,630
440,711,681,633
441,713,684,633
442,713,685,636
443,716,688,640
444,717,694,642
445,716,692,645
446,719,719,648
447,721,745,650
448,718,700,653
449,785,751,655
450,786,706,696
451,721,755,658
452,721,759,662
453,789,715,665
454,789,717,667
455,724,768,709
456,724,771,674
457,793,726,672
458,793,777,680
459,796,731,683
460,795,781,687
461,797,738,727
462,797,739,728
463,732,742,693
464,782,795,693
465,734,749,694
466,801,800,698
467,735,802,743
468,736,807,748
469,805,758,707
470,806,762,711
471,739,764,754
472,808,766,733
473,809,822,719
474,810,774,762
475,744,776,726
476,812,802,773
477,813,781,730
478,746,785,775
479,799,790,777
480,816,813,739
481,818,816,788
482,751,850,740
483,752,801,793
484,819,855,750
485,805,858,752
486,757,860,757
487,757,864,759
488,825,815,809
489,826,871,810
490,828,821,762
491,760,878,769
492,829,883,765
493,763,829,824
494,832,833,823
495,833,856,781
496,766,892,784
497,836,844,787
498,837,841,783
499,839,901,841
500,771,849,795
501,772,908,842
502,841,859,845
503,775,912,818
504,844,916,817
505,845,888,861
506,847,868,813
507,848,871,815
508,780,875,863
509,781,900,867
510,782,882,821
511,853,881,826
512,790,890,825
513,793,891,831
514,865,897,889
515,801,896,836
516,804,898,851
517,805,902,833
518,807,904,841
519,810,968,857
520,813,966,850
521,816,911,852
522,823,916,856
523,867,964,892
524,849,943,906
525,834,928,863
